"name","title","original_link","year","month","day"
네이버,"네이버, 블로그 하단 영역 개편…콘텐츠 다양성 확대",https://n.news.naver.com/mnews/article/030/0003222551?sid=101,2024,7,11
네이버,"네이버, 라인 지분 매각 무산 우려에 동남아 사업도 뺏길 판",https://it.chosun.com/news/articleView.html?idxno=2023092118434,2024,7,4
네이버,요즘은 '숏폼'이 대세… 네이버 '클립' 경쟁력 강화한다,https://www.pinpointnews.co.kr/news/articleView.html?idxno=271688,2024,6,17
네이버,네이버가 만든 ‘라인페이’ 소프트뱅크로 넘어간다,https://n.news.naver.com/mnews/article/243/0000060651?sid=105,2024,6,13
네이버,네이버 'AI 번역' 파파고 성장세… 해외 이용 전년比 27%↑,https://n.news.naver.com/mnews/article/417/0001007415?sid=105,2024,6,11
네이버,카카오·네이버 앱 등서 모바일 신분증 발급 가능해진다,https://www.hellot.net/news/article.html?no=90571,2024,6,9
네이버,"네이버, 공공기관 SNS 콘텐츠 연동 안한다",https://n.news.naver.com/mnews/article/015/0004994585?sid=105,2024,6,9
네이버,“우린 별도 회사”… 라인과 ‘헤어질 결심’ 네이버의 속마음,https://n.news.naver.com/mnews/article/005/0001697056?sid=101,2024,5,19
네이버,"네이버, 라인야후와 결별하면 'AI 신시장' 동남아 진출 먹구름",https://www.ajunews.com/view/20240519145353900,2024,5,19
네이버,"네이버 치지직 팝업 인기···""스트리머 콘텐츠·버추얼 스트리밍 체험""",http://www.enewstoday.co.kr/news/articleView.html?idxno=2129016,2024,5,19
네이버,"네이버, 日서 ‘라인’ 경영권 뺏길 위기… 정부 “우리 기업 차별 안 돼”",https://n.news.naver.com/mnews/article/081/0003447333?sid=101,2024,4,28
네이버,"네이버·카카오, 책임감 있는 AI 속도…안정성에 힘쓴다",http://www.goodkyung.com/news/articleView.html?idxno=235522,2024,4,26
네이버,수십억 들여 2년 준비했는데…네이버 WTS 물거품 위기,https://n.news.naver.com/mnews/article/015/0004974983?sid=101,2024,4,19
네이버,"네이버, 뉴스제평위 재개 논의 착수…카카오도 논의 예정",https://n.news.naver.com/mnews/article/030/0003199460?sid=101,2024,4,18
네이버,"네이버, AI 추천상품 쇼핑몰 노출 시작…신생사 기회 늘 듯",http://www.hansbiz.co.kr/news/articleView.html?idxno=689250,2024,4,16
네이버,"네이버, 지도 앱 내 등산로 정보 제공…이용자 편의 제고",https://n.news.naver.com/mnews/article/030/0003196781?sid=101,2024,4,10
네이버,"네이버, 금융감독원과 업무협약…""금융감독 업무 디지털 전환""",http://www.goodkyung.com/news/articleView.html?idxno=233496,2024,4,3
네이버,"네이버-카카오 주총, 뿔난 주주 반발에 '진땀'",https://www.viva100.com/main/view.php?key=20240328010009628,2024,3,29
네이버,"네이버, 카페댓글에도 '클린봇' 적용",https://cwn.kr/article/1065594789644934,2024,3,22
네이버,네이버 하이퍼클로바X 기반 법률 질의 서비스 출시,https://n.news.naver.com/mnews/article/022/0003916867?sid=105,2024,3,22
네이버,"네이버, 삼성전자 맞손...로봇 생태계 구축·AI 반도체 양산",https://www.polinews.co.kr/news/articleView.html?idxno=638010,2024,3,7
네이버,"네이버-삼성물산, 글로벌 스마트시티 공략 맞손",https://www.ajunews.com/view/20240228212418314,2024,2,28
네이버,"네이버·카카오, AI 기술 고도화 경쟁…검색·커머스 등 적용 확대",https://n.news.naver.com/mnews/article/030/0003182122?sid=101,2024,2,20
네이버,"네이버, 기업용 상품 개발..스트리밍 시장 확장",http://kpenews.com/View.aspx?No=3109404,2024,1,29
네이버,"광고에도 생성 AI…네이버, '클로바 포 애드' 서비스 개시",https://www.ajunews.com/view/20240124090219487,2024,1,24
네이버,프로야구 중계권 확보 '치열'… 티빙·네이버·SPOTV '3파전',https://n.news.naver.com/mnews/article/417/0000973688?sid=105,2024,1,5
네이버,"'생성형 AI' 올라탄 포털···네이버 준비 완료, 카카오 새해 승부수",https://n.news.naver.com/mnews/article/079/0003848383?sid=105,2024,1,1
네이버,"네이버 오픈톡, ‘2024 새해맞이 운세&소원톡’ 운영",https://n.news.naver.com/mnews/article/022/0003888257?sid=105,2023,12,25
네이버,"네이버, 공정거래협약 이행평가 '최우수' 등급 획득",https://www.fetv.co.kr/news/article.html?no=155505,2023,12,25
네이버,"네이버 비즈니스 스쿨, SME와 창작자 위한 온·오프라인 패키지 교육 프로그램...",https://n.news.naver.com/mnews/article/022/0003888232?sid=105,2023,12,25
